STUDYAREAN,IMGPATH,SPECIESID,COMMONNAME
33,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190827\CT-CT06_02139_8-26-2019.JPG,17.0,Raccoon
34,Buena Vista Mid,F:\Nilgai_photo_database\BV\BVM\BV_M_20_190125\BVM-BVM20_00067_1-14-2019.JPG,12.0,White-tailed deer
35,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00335_7-11-2019.JPG,33.0,Turkey
36,Russel Middle,F:\Nilgai_photo_database\RU\RUM\RU_M_01_190404\RUM-RUM01_01044_3-25-2019.JPG,5.0,Pig
37,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190211\CLE-COLE12_02088_1-25-2019.JPG,11.0,"Exotics, other"
38,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403_Cam36\RCW-RCW24_03770_3-10-2019.JPG,21.0,Mouse
39,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_06520_8-19-2019.JPG,18.0,Unknown
40,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190827\CNW-CONW03_00899_8-17-2019.JPG,26.0,Armadillo
41,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190301\BSE-BVSE02_00239_2-21-2019.JPG,29.0,Skunk
42,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_06784_8-19-2019.JPG,18.0,Unknown
43,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190812\CSE-COSE0.8_00157_8-2-2019.JPG,28.0,Spider
44,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190301\BSE-BVSE02_00227_2-20-2019.JPG,29.0,Skunk
45,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_17_190403\RCW-RCW17_00768_3-14-2019.JPG,31.0,Squirrel
46,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_17_190403\RCW-RCW17_00766_3-14-2019.JPG,31.0,Squirrel
47,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0667_190911\CLE-COLE0667_05628_8-27-2019.JPG,0.0,None
48,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.3_190812\CNE-CONE05.3_00054_7-29-2019.JPG,13.0,Nilgai
49,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190301\BSE-BVSE02_00232_2-20-2019.JPG,29.0,Skunk
50,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_01424_8-12-2019.JPG,26.0,Armadillo
51,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190108\CNE-CONE05.35_01116_12-17-2018.JPG,5.0,Pig
52,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190812\CNE-CONE05.4_00281_8-3-2019.JPG,32.0,Tortoise/Turtle
53,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00789_7-19-2019.JPG,33.0,Turkey
54,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190827\CNW-CONW03_02166_8-24-2019.JPG,26.0,Armadillo
55,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_111_190827\CSE-COSE111_00511_8-11-2019.JPG,33.0,Turkey
56,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00359_6-12-2019.JPG,25.0,Dog
57,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_03_190429\CN-CON03_01381_4-15-2019.JPG,6.0,Cattle
58,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_06193_8-18-2019.JPG,18.0,Unknown
59,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_05_190812\CLE-COLE05_00490_8-11-2019.JPG,22.0,Rat
60,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403_Cam36\RCW-RCW24_01723_2-24-2019.JPG,21.0,Mouse
61,Buena Vista North,F:\Nilgai_photo_database\BV\BVN\BV_N_04_190301\BVN-BVN04_01175_2-6-2019.JPG,7.0,Coyote
62,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190827\CT-CT06_00074_8-12-2019.JPG,9.0,Humans
63,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_11_190924\CSC-CSC11_00485_9-22-2019.JPG,21.0,Mouse
64,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_05_190911\CT-CT05_00367_9-1-2019.JPG,18.0,Unknown
65,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_17_190403\RCW-RCW17_00735_3-13-2019.JPG,31.0,Squirrel
66,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_01_190813\RUE-RUE01_00134_8-9-2019.JPG,0.0,None
67,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00700_6-13-2019.JPG,25.0,Dog
68,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05_190402\CNE-CONE05_00048_3-19-2019.JPG,9.0,Humans
69,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190212_Cam77\RCW-RCW07.1_01605_1-24-2019.JPG,13.0,Nilgai
70,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190301\BSW-BVSW12_00644_2-26-2019.JPG,19.0,Ocelot
71,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_65.5_190404\CNC-CONC65.5_02486_3-23-2019.JPG,10.0,Birds
72,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190729\CNC-CONC11_00011_6-22-2019.JPG,26.0,Armadillo
73,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190507\RCNX5558.JPG,22.0,Rat
74,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190301\BSE-BVSE02_00236_2-21-2019.JPG,29.0,Skunk
75,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_04829_12-27-2018.JPG,11.0,"Exotics, other"
76,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_02_190207_Cam39\BVS-BVS02_19547_2-3-2019.JPG,0.0,None
77,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_00817_3-8-2019.JPG,18.0,Unknown
78,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_09_190403\RCW-RCW09_00748_3-31-2019.JPG,15.0,Rabbit
79,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_08_190528\RUS-RUS08_11363_5-22-2019.JPG,0.0,None
80,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_01297_7-27-2019.JPG,33.0,Turkey
81,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_02_190424\RUE-RUE02_00634_4-16-2019.JPG,22.0,Rat
82,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_12_190429\CNC-CONC12_05493_4-16-2019.JPG,10.0,Birds
83,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190207\BSW-BVSW12_01425_1-30-2019.JPG,5.0,Pig
84,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_05_190730\BVE-BVE05_00740_7-12-2019.JPG,10.0,Birds
85,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_222_190924\CLE-COLE222_06141_9-22-2019.JPG,0.0,None
86,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_06580_8-19-2019.JPG,18.0,Unknown
87,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190207\BSW-BVSW12_00692_1-24-2019.JPG,8.0,Bobcat
88,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190507\RCNX0071.JPG,22.0,Rat
89,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190207\BSW-BVSW12_00611_1-23-2019.JPG,17.0,Raccoon
90,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_09_190827\RUS-RUS09_05406_8-21-2019.JPG,27.0,Opossum
91,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_01_190207_Cam129\RCNX1993.JPG,24.0,Horse
92,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_07_190813\RUS-RUS07_05718_8-12-2019.JPG,0.0,None
93,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403\RCW-RCW24_00100_3-4-2019.JPG,15.0,Rabbit
94,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.2_190228_Cam80\RCW-RCW07.2_01084_2-17-2019.JPG,22.0,Rat
95,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_02_190424\RUE-RUE02_00238_4-7-2019.JPG,22.0,Rat
96,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_07_190924\CNC-CONC07_00081_9-16-2019.JPG,9.0,Humans
97,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_05_190827\CT-CT05_00695_8-22-2019.JPG,9.0,Humans
98,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_01_190813\BVE-BVE01_00094_8-10-2019.JPG,6.0,Cattle
99,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_02003_2-16-2019.JPG,29.0,Skunk
100,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_06.5_190207_Cam96\RCNX1246.JPG,9.0,Humans
101,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_02_190424\RUS-RUS02_00029_4-5-2019.JPG,18.0,Unknown
102,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_02004_2-16-2019.JPG,29.0,Skunk
103,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.6_190911\CSE-COSE0.6_00054_8-27-2019.JPG,15.0,Rabbit
104,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190924\CNE-CONE05.35_00552_9-13-2019.JPG,5.0,Pig
105,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_01_190301\RUE-RUE01_00132_2-9-2019.JPG,24.0,Horse
106,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_05_190301\RUE-RUE05_00404_1-29-2019.JPG,5.0,Pig
107,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_05_190827\CLE-COLE05_00373_8-20-2019.JPG,7.0,Coyote
108,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_06937_1-17-2019.JPG,11.0,"Exotics, other"
109,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190729\CT-CT04_01871_7-26-2019.JPG,12.0,White-tailed deer
110,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_06_190521\CNC-CONC06_00102_5-15-2019.JPG,24.0,Horse
111,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11.5_190521\CNC-CONC11.5_13396_5-2-2019.JPG,0.0,None
112,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_11_190924\CSC-CSC11_00519_9-24-2019.JPG,18.0,Unknown
113,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190211\CLE-COLE12_03687_2-8-2019.JPG,15.0,Rabbit
114,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_08_190207_Cam133\RCNX1119.JPG,9.0,Humans
115,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02.3_190228_Cam41\RCW-RCW02.3_00210_1-26-2019.JPG,13.0,Nilgai
116,BV Hacienda,F:\Nilgai_photo_database\BV\BVH\BV_H_02_190509\RCNX0434.JPG,6.0,Cattle
117,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190227\CNC-CONC11_01911_2-22-2019.JPG,9.0,Humans
118,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0668_190820\CLE-COLE0668_06363_8-15-2019.JPG,32.0,Tortoise/Turtle
119,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190924\CNE-CONE05.35_00557_9-13-2019.JPG,32.0,Tortoise/Turtle
120,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190827\CT-CT06_00906_8-19-2019.JPG,7.0,Coyote
121,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_65.5_190123\CNC-CONC65.5_01775_12-24-2018.JPG,18.0,Unknown
122,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190812\CNE-CONE05.4_00202_8-2-2019.JPG,32.0,Tortoise/Turtle
123,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_16_190429\CSE-COSE16_00539_4-22-2019.JPG,18.0,Unknown
124,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190924\CLE-COLE12_00325_9-23-2019.JPG,21.0,Mouse
125,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00862_7-20-2019.JPG,33.0,Turkey
126,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190211\CLE-COLE12_02068_1-24-2019.JPG,11.0,"Exotics, other"
127,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00857_6-18-2019.JPG,8.0,Bobcat
128,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_05756_3-29-2019.JPG,28.0,Spider
129,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190402\CNC-CONC11_01660_3-22-2019.JPG,27.0,Opossum
130,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0668_190820\CLE-COLE0668_06362_8-15-2019.JPG,32.0,Tortoise/Turtle
131,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_02_190924\BVE-BVE02_05855_9-13-2019.JPG,0.0,None
132,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190729\CLE-COLE0669_02855_7-27-2019.JPG,27.0,Opossum
133,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_01258_7-25-2019.JPG,6.0,Cattle
134,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_01472_8-12-2019.JPG,15.0,Rabbit
135,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_01_190301\RUE-RUE01_00124_2-9-2019.JPG,24.0,Horse
136,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_01_190301\RUE-RUE01_00123_2-9-2019.JPG,24.0,Horse
137,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_03_190604_Cam161-\BVS-BVS03_00043_5-21-2019.JPG,8.0,Bobcat
138,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_06_190207_Cam95\RCNX0808.JPG,9.0,Humans
139,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403\RCW-RCW24_00316_3-7-2019.JPG,15.0,Rabbit
140,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_00.2_190507_Cam88\RCW-RCW00.2_00311_4-14-2019.JPG,13.0,Nilgai
141,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_11_190522\CLE-COLE11_00271_4-8-2019.JPG,7.0,Coyote
142,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.1_190521\CNE-CONE05.1_02391_5-20-2019.JPG,0.0,None
143,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190911\CSC-CSC12_01268_9-8-2019.JPG,33.0,Turkey
144,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_12_190227\CSE-COSE12_01534_2-17-2019.JPG,11.0,"Exotics, other"
145,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_06_190405\BSE-BVSE06_00124_3-21-2019.JPG,28.0,Spider
146,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190729\CNC-CONC11_02136_7-12-2019.JPG,0.0,None
147,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_02_Cam115_190827\BEM-BVEM02_00263_8-14-2019.JPG,26.0,Armadillo
148,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190301\BSE-BVSE02_00215_2-20-2019.JPG,29.0,Skunk
149,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190211\CLE-COLE12_03701_2-9-2019.JPG,8.0,Bobcat
150,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190108\CNE-CONE05.35_02709_12-26-2018.JPG,7.0,Coyote
151,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_02_190301\BEM-BVEM02_00793_2-7-2019.JPG,26.0,Armadillo
152,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190207\BSW-BVSW12_01013_1-25-2019.JPG,19.0,Ocelot
153,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_03_190924\CN-CON03_00218_9-21-2019.JPG,21.0,Mouse
154,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0672_190911\CLE-COLE0672_00916_9-1-2019.JPG,17.0,Raccoon
155,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190912\CT-CT06_00398_9-8-2019.JPG,25.0,Dog
156,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00648_6-13-2019.JPG,25.0,Dog
157,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190812\CT-CT04_07711_8-9-2019.JPG,12.0,White-tailed deer
158,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190729\CSE-COSE0.8_00028_7-26-2019.JPG,26.0,Armadillo
159,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190301\BSE-BVSE02_00237_2-21-2019.JPG,29.0,Skunk
160,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0667_190911\CLE-COLE0667_02224_8-26-2019.JPG,15.0,Rabbit
161,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_02_190424\RUE-RUE02_00114_4-6-2019.JPG,22.0,Rat
162,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_07_190211\CNC-CONC07_00019_1-24-2019.JPG,13.0,Nilgai
163,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190827\CT-CT04_07081_8-24-2019.JPG,12.0,White-tailed deer
164,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190729\CNW-CONW03_00950_7-8-2019.JPG,26.0,Armadillo
165,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_11_190522\CLE-COLE11_00714_4-25-2019.JPG,13.0,Nilgai
166,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_04389_12-22-2018.JPG,18.0,Unknown
167,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190924\CT-CT06_00218_9-16-2019.JPG,17.0,Raccoon
168,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_05427_12-31-2018.JPG,11.0,"Exotics, other"
169,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02_190228\RCW-RCW02_02180_2-20-2019.JPG,9.0,Humans
170,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190211\CLE-COLE12_02320_1-27-2019.JPG,11.0,"Exotics, other"
171,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_0.55_190924\CNC-CONC0.55_00164_9-15-2019.JPG,13.0,Nilgai
172,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_01_190301\RUE-RUE01_00134_2-9-2019.JPG,24.0,Horse
173,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_13_190211\CSC-COSC13_01014_1-23-2018.JPG,8.0,Bobcat
174,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_12_190403\RCW-RCW12_00742_3-29-2019.JPG,18.0,Unknown
175,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190812\CNE-CONE05.4_00200_8-2-2019.JPG,32.0,Tortoise/Turtle
176,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190911\CSC-CSC12_00976_9-1-2019.JPG,33.0,Turkey
177,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_03_190301\RUE-RUE03_06362_2-23-2019.JPG,0.0,None
178,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_03_190424\RUS-RUS03_02055_4-10-2018.JPG,0.0,None
179,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_05677_1-1-2019.JPG,11.0,"Exotics, other"
180,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_111_190827\CSE-COSE111_00521_8-11-2019.JPG,33.0,Turkey
181,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_05_190301\RUE-RUE05_00469_2-3-2019.JPG,13.0,Nilgai
182,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190911\CSE-COSE0.8_00054_8-27-2019.JPG,15.0,Rabbit
183,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_06_190429\CLE-COLE06_00035_4-8-2019.JPG,10.0,Birds
184,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190827\CNE-CONE05.35_03618_8-18-2019.JPG,5.0,Pig
185,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_00163_3-1-2019.JPG,22.0,Rat
186,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0670_190827\CLE-COLE0670_00269_8-21-2019.JPG,27.0,Opossum
