,STUDYAREAN,IMGPATH,SPECIESID,COMMONNAME,SPECIESWEIGHTS,OBJECT,OBJECTNAME,OBJWEIGHTS
809637,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00807_7-19-2019.JPG,33.0,Turkey,3262.3244929797193,1,Animal,4.264798257492943
51493,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_09_190827\RUS-RUS09_07854_8-22-2019.JPG,21.0,Mouse,275.55013835815,1,Animal,4.264798257492943
2156583,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_03_190404_Cam161\BV_S_03_190404_Cam161_00417_3-19-2019.JPG,6.0,Cattle,22.59798783189427,1,Animal,4.264798257492943
823198,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00597_6-13-2019.JPG,25.0,Dog,5923.937677053825,1,Animal,4.264798257492943
935234,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190812\CNE-CONE05.4_00199_8-2-2019.JPG,32.0,Tortoise/Turtle,49789.28571428572,1,Animal,4.264798257492943
1030185,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190603\CNE-CONE05.35_00169_5-24-2019.JPG,26.0,Armadillo,2036.1733203505355,1,Animal,4.264798257492943
2365624,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190827\BSE-BVSE02_24784_8-21-2019.JPG,0.0,None,1.0,0,None,1.0
1413518,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_03_190603\CN-CON03_00691_5-29-2019.JPG,13.0,Nilgai,58.730270179183286,1,Animal,4.264798257492943
1185472,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_65.5_190603\CNC-CONC65.5_03267_5-24-2019.JPG,10.0,Birds,34.082796838073506,1,Animal,4.264798257492943
432156,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_00.2_190507_Cam88\RCW-RCW00.2_00592_4-25-2019.JPG,13.0,Nilgai,58.730270179183286,1,Animal,4.264798257492943
823327,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00496_6-13-2019.JPG,25.0,Dog,5923.937677053825,1,Animal,4.264798257492943
555253,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190827\CT-CT06_02139_8-26-2019.JPG,17.0,Raccoon,476.66970594939596,1,Animal,4.264798257492943
2523890,Buena Vista Mid,F:\Nilgai_photo_database\BV\BVM\BV_M_20_190125\BVM-BVM20_00067_1-14-2019.JPG,12.0,White-tailed deer,18.933172776575613,1,Animal,4.264798257492943
810298,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00335_7-11-2019.JPG,33.0,Turkey,3262.3244929797193,1,Animal,4.264798257492943
163053,Russel Middle,F:\Nilgai_photo_database\RU\RUM\RU_M_01_190404\RUM-RUM01_01044_3-25-2019.JPG,5.0,Pig,107.4754587038084,1,Animal,4.264798257492943
1514062,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190211\CLE-COLE12_02088_1-25-2019.JPG,11.0,"Exotics, other",4840.625,1,Animal,4.264798257492943
398853,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403_Cam36\RCW-RCW24_03770_3-10-2019.JPG,21.0,Mouse,275.55013835815,1,Animal,4.264798257492943
2327329,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_06520_8-19-2019.JPG,18.0,Unknown,348.00299550673986,1,Animal,4.264798257492943
865882,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190827\CNW-CONW03_00899_8-17-2019.JPG,26.0,Armadillo,2036.1733203505355,1,Animal,4.264798257492943
2375382,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190301\BSE-BVSE02_00239_2-21-2019.JPG,29.0,Skunk,36686.84210526316,1,Animal,4.264798257492943
2327694,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_06784_8-19-2019.JPG,18.0,Unknown,348.00299550673986,1,Animal,4.264798257492943
782541,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190812\CSE-COSE0.8_00157_8-2-2019.JPG,28.0,Spider,22485.483870967742,1,Animal,4.264798257492943
2375082,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190301\BSE-BVSE02_00227_2-20-2019.JPG,29.0,Skunk,36686.84210526316,1,Animal,4.264798257492943
393063,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_17_190403\RCW-RCW17_00768_3-14-2019.JPG,31.0,Squirrel,139410.0,1,Animal,4.264798257492943
393023,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_17_190403\RCW-RCW17_00766_3-14-2019.JPG,31.0,Squirrel,139410.0,1,Animal,4.264798257492943
1629699,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0667_190911\CLE-COLE0667_05628_8-27-2019.JPG,0.0,None,1.0,0,None,1.0
957464,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.3_190812\CNE-CONE05.3_00054_7-29-2019.JPG,13.0,Nilgai,58.730270179183286,1,Animal,4.264798257492943
2375261,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190301\BSE-BVSE02_00232_2-20-2019.JPG,29.0,Skunk,36686.84210526316,1,Animal,4.264798257492943
1714678,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_01424_8-12-2019.JPG,26.0,Armadillo,2036.1733203505355,1,Animal,4.264798257492943
992930,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190108\CNE-CONE05.35_01116_12-17-2018.JPG,5.0,Pig,107.4754587038084,1,Animal,4.264798257492943
935130,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190812\CNE-CONE05.4_00281_8-3-2019.JPG,32.0,Tortoise/Turtle,49789.28571428572,1,Animal,4.264798257492943
810654,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00789_7-19-2019.JPG,33.0,Turkey,3262.3244929797193,1,Animal,4.264798257492943
865498,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190827\CNW-CONW03_02166_8-24-2019.JPG,26.0,Armadillo,2036.1733203505355,1,Animal,4.264798257492943
696318,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_111_190827\CSE-COSE111_00511_8-11-2019.JPG,33.0,Turkey,3262.3244929797193,1,Animal,4.264798257492943
823900,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00359_6-12-2019.JPG,25.0,Dog,5923.937677053825,1,Animal,4.264798257492943
1448675,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_03_190429\CN-CON03_01381_4-15-2019.JPG,6.0,Cattle,22.59798783189427,1,Animal,4.264798257492943
2328285,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_06193_8-18-2019.JPG,18.0,Unknown,348.00299550673986,1,Animal,4.264798257492943
1485534,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_05_190812\CLE-COLE05_00490_8-11-2019.JPG,22.0,Rat,627.972972972973,1,Animal,4.264798257492943
323133,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403_Cam36\RCW-RCW24_01723_2-24-2019.JPG,21.0,Mouse,275.55013835815,1,Animal,4.264798257492943
2490557,Buena Vista North,F:\Nilgai_photo_database\BV\BVN\BV_N_04_190301\BVN-BVN04_01175_2-6-2019.JPG,7.0,Coyote,683.1590983338779,1,Animal,4.264798257492943
597257,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190827\CT-CT06_00074_8-12-2019.JPG,9.0,Humans,15.204714504882464,1,Animal,4.264798257492943
811519,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_11_190924\CSC-CSC11_00485_9-22-2019.JPG,21.0,Mouse,275.55013835815,1,Animal,4.264798257492943
593981,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_05_190911\CT-CT05_00367_9-1-2019.JPG,18.0,Unknown,348.00299550673986,1,Animal,4.264798257492943
392892,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_17_190403\RCW-RCW17_00735_3-13-2019.JPG,31.0,Squirrel,139410.0,1,Animal,4.264798257492943
200033,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_01_190813\RUE-RUE01_00134_8-9-2019.JPG,0.0,None,1.0,0,None,1.0
823598,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00700_6-13-2019.JPG,25.0,Dog,5923.937677053825,1,Animal,4.264798257492943
1045544,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05_190402\CNE-CONE05_00048_3-19-2019.JPG,9.0,Humans,15.204714504882464,1,Animal,4.264798257492943
420866,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190212_Cam77\RCW-RCW07.1_01605_1-24-2019.JPG,13.0,Nilgai,58.730270179183286,1,Animal,4.264798257492943
1964194,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190301\BSW-BVSW12_00644_2-26-2019.JPG,19.0,Ocelot,18343.42105263158,1,Animal,4.264798257492943
1254733,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_65.5_190404\CNC-CONC65.5_02486_3-23-2019.JPG,10.0,Birds,34.082796838073506,1,Animal,4.264798257492943
1275134,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190729\CNC-CONC11_00011_6-22-2019.JPG,26.0,Armadillo,2036.1733203505355,1,Animal,4.264798257492943
384951,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190507\RCNX5558.JPG,22.0,Rat,627.972972972973,1,Animal,4.264798257492943
2375379,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190301\BSE-BVSE02_00236_2-21-2019.JPG,29.0,Skunk,36686.84210526316,1,Animal,4.264798257492943
1969855,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_04829_12-27-2018.JPG,11.0,"Exotics, other",4840.625,1,Animal,4.264798257492943
2165720,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_02_190207_Cam39\BVS-BVS02_19547_2-3-2019.JPG,0.0,None,1.0,0,None,1.0
237476,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_00817_3-8-2019.JPG,18.0,Unknown,348.00299550673986,1,Animal,4.264798257492943
507157,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_09_190403\RCW-RCW09_00748_3-31-2019.JPG,15.0,Rabbit,631.1952912767885,1,Animal,4.264798257492943
93380,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_08_190528\RUS-RUS08_11363_5-22-2019.JPG,0.0,None,1.0,0,None,1.0
810134,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_01297_7-27-2019.JPG,33.0,Turkey,3262.3244929797193,1,Animal,4.264798257492943
189019,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_02_190424\RUE-RUE02_00634_4-16-2019.JPG,22.0,Rat,627.972972972973,1,Animal,4.264798257492943
1258507,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_12_190429\CNC-CONC12_05493_4-16-2019.JPG,10.0,Birds,34.082796838073506,1,Animal,4.264798257492943
1989250,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190207\BSW-BVSW12_01425_1-30-2019.JPG,5.0,Pig,107.4754587038084,1,Animal,4.264798257492943
2604487,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_05_190730\BVE-BVE05_00740_7-12-2019.JPG,10.0,Birds,34.082796838073506,1,Animal,4.264798257492943
1711042,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_222_190924\CLE-COLE222_06141_9-22-2019.JPG,0.0,None,1.0,0,None,1.0
2327036,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_06580_8-19-2019.JPG,18.0,Unknown,348.00299550673986,1,Animal,4.264798257492943
1993601,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190207\BSW-BVSW12_00692_1-24-2019.JPG,8.0,Bobcat,1046.0980490245122,1,Animal,4.264798257492943
417363,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190507\RCNX0071.JPG,22.0,Rat,627.972972972973,1,Animal,4.264798257492943
1994688,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190207\BSW-BVSW12_00611_1-23-2019.JPG,17.0,Raccoon,476.66970594939596,1,Animal,4.264798257492943
130181,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_09_190827\RUS-RUS09_05406_8-21-2019.JPG,27.0,Opossum,2344.3385650224213,1,Animal,4.264798257492943
1978264,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_01_190207_Cam129\RCNX1993.JPG,24.0,Horse,56517.56756756757,1,Animal,4.264798257492943
16086,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_07_190813\RUS-RUS07_05718_8-12-2019.JPG,0.0,None,1.0,0,None,1.0
311497,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403\RCW-RCW24_00100_3-4-2019.JPG,15.0,Rabbit,631.1952912767885,1,Animal,4.264798257492943
262266,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.2_190228_Cam80\RCW-RCW07.2_01084_2-17-2019.JPG,22.0,Rat,627.972972972973,1,Animal,4.264798257492943
189186,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_02_190424\RUE-RUE02_00238_4-7-2019.JPG,22.0,Rat,627.972972972973,1,Animal,4.264798257492943
1402892,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_07_190924\CNC-CONC07_00081_9-16-2019.JPG,9.0,Humans,15.204714504882464,1,Animal,4.264798257492943
569575,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_05_190827\CT-CT05_00695_8-22-2019.JPG,9.0,Humans,15.204714504882464,1,Animal,4.264798257492943
2546970,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_01_190813\BVE-BVE01_00094_8-10-2019.JPG,6.0,Cattle,22.59798783189427,1,Animal,4.264798257492943
494814,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_02003_2-16-2019.JPG,29.0,Skunk,36686.84210526316,1,Animal,4.264798257492943
1948079,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_06.5_190207_Cam96\RCNX1246.JPG,9.0,Humans,15.204714504882464,1,Animal,4.264798257492943
121812,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_02_190424\RUS-RUS02_00029_4-5-2019.JPG,18.0,Unknown,348.00299550673986,1,Animal,4.264798257492943
494812,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_02004_2-16-2019.JPG,29.0,Skunk,36686.84210526316,1,Animal,4.264798257492943
653058,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.6_190911\CSE-COSE0.6_00054_8-27-2019.JPG,15.0,Rabbit,631.1952912767885,1,Animal,4.264798257492943
1138557,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190924\CNE-CONE05.35_00552_9-13-2019.JPG,5.0,Pig,107.4754587038084,1,Animal,4.264798257492943
198957,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_01_190301\RUE-RUE01_00132_2-9-2019.JPG,24.0,Horse,56517.56756756757,1,Animal,4.264798257492943
194596,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_05_190301\RUE-RUE05_00404_1-29-2019.JPG,5.0,Pig,107.4754587038084,1,Animal,4.264798257492943
1540341,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_05_190827\CLE-COLE05_00373_8-20-2019.JPG,7.0,Coyote,683.1590983338779,1,Animal,4.264798257492943
1971491,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_06937_1-17-2019.JPG,11.0,"Exotics, other",4840.625,1,Animal,4.264798257492943
571559,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190729\CT-CT04_01871_7-26-2019.JPG,12.0,White-tailed deer,18.933172776575613,1,Animal,4.264798257492943
1153147,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_06_190521\CNC-CONC06_00102_5-15-2019.JPG,24.0,Horse,56517.56756756757,1,Animal,4.264798257492943
1257014,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11.5_190521\CNC-CONC11.5_13396_5-2-2019.JPG,0.0,None,1.0,0,None,1.0
811551,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_11_190924\CSC-CSC11_00519_9-24-2019.JPG,18.0,Unknown,348.00299550673986,1,Animal,4.264798257492943
1516010,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190211\CLE-COLE12_03687_2-8-2019.JPG,15.0,Rabbit,631.1952912767885,1,Animal,4.264798257492943
1979545,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_08_190207_Cam133\RCNX1119.JPG,9.0,Humans,15.204714504882464,1,Animal,4.264798257492943
481019,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02.3_190228_Cam41\RCW-RCW02.3_00210_1-26-2019.JPG,13.0,Nilgai,58.730270179183286,1,Animal,4.264798257492943
1854074,BV Hacienda,F:\Nilgai_photo_database\BV\BVH\BV_H_02_190509\RCNX0434.JPG,6.0,Cattle,22.59798783189427,1,Animal,4.264798257492943
1273142,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190227\CNC-CONC11_01911_2-22-2019.JPG,9.0,Humans,15.204714504882464,1,Animal,4.264798257492943
1607524,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0668_190820\CLE-COLE0668_06363_8-15-2019.JPG,32.0,Tortoise/Turtle,49789.28571428572,1,Animal,4.264798257492943
1138552,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190924\CNE-CONE05.35_00557_9-13-2019.JPG,32.0,Tortoise/Turtle,49789.28571428572,1,Animal,4.264798257492943
596970,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190827\CT-CT06_00906_8-19-2019.JPG,7.0,Coyote,683.1590983338779,1,Animal,4.264798257492943
1263300,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_65.5_190123\CNC-CONC65.5_01775_12-24-2018.JPG,18.0,Unknown,348.00299550673986,1,Animal,4.264798257492943
935237,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190812\CNE-CONE05.4_00202_8-2-2019.JPG,32.0,Tortoise/Turtle,49789.28571428572,1,Animal,4.264798257492943
727958,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_16_190429\CSE-COSE16_00539_4-22-2019.JPG,18.0,Unknown,348.00299550673986,1,Animal,4.264798257492943
1711285,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190924\CLE-COLE12_00325_9-23-2019.JPG,21.0,Mouse,275.55013835815,1,Animal,4.264798257492943
809582,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00862_7-20-2019.JPG,33.0,Turkey,3262.3244929797193,1,Animal,4.264798257492943
1514041,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190211\CLE-COLE12_02068_1-24-2019.JPG,11.0,"Exotics, other",4840.625,1,Animal,4.264798257492943
823516,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00857_6-18-2019.JPG,8.0,Bobcat,1046.0980490245122,1,Animal,4.264798257492943
487459,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_05756_3-29-2019.JPG,28.0,Spider,22485.483870967742,1,Animal,4.264798257492943
1158153,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190402\CNC-CONC11_01660_3-22-2019.JPG,27.0,Opossum,2344.3385650224213,1,Animal,4.264798257492943
1607512,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0668_190820\CLE-COLE0668_06362_8-15-2019.JPG,32.0,Tortoise/Turtle,49789.28571428572,1,Animal,4.264798257492943
2579966,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_02_190924\BVE-BVE02_05855_9-13-2019.JPG,0.0,None,1.0,0,None,1.0
1643228,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190729\CLE-COLE0669_02855_7-27-2019.JPG,27.0,Opossum,2344.3385650224213,1,Animal,4.264798257492943
809985,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_01258_7-25-2019.JPG,6.0,Cattle,22.59798783189427,1,Animal,4.264798257492943
1714833,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_01472_8-12-2019.JPG,15.0,Rabbit,631.1952912767885,1,Animal,4.264798257492943
198966,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_01_190301\RUE-RUE01_00124_2-9-2019.JPG,24.0,Horse,56517.56756756757,1,Animal,4.264798257492943
198942,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_01_190301\RUE-RUE01_00123_2-9-2019.JPG,24.0,Horse,56517.56756756757,1,Animal,4.264798257492943
2057585,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_03_190604_Cam161-\BVS-BVS03_00043_5-21-2019.JPG,8.0,Bobcat,1046.0980490245122,1,Animal,4.264798257492943
1973572,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_06_190207_Cam95\RCNX0808.JPG,9.0,Humans,15.204714504882464,1,Animal,4.264798257492943
311017,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403\RCW-RCW24_00316_3-7-2019.JPG,15.0,Rabbit,631.1952912767885,1,Animal,4.264798257492943
432181,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_00.2_190507_Cam88\RCW-RCW00.2_00311_4-14-2019.JPG,13.0,Nilgai,58.730270179183286,1,Animal,4.264798257492943
1547098,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_11_190522\CLE-COLE11_00271_4-8-2019.JPG,7.0,Coyote,683.1590983338779,1,Animal,4.264798257492943
996975,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.1_190521\CNE-CONE05.1_02391_5-20-2019.JPG,0.0,None,1.0,0,None,1.0
